117240,188,205,5A,5A,3,1453,1522
117240,196,203,5A,5A,11,1483,1516
117240,196,205,5A,5A,3,1483,1522
117240,198,204,5A,5A,52,1495,1520
117240,201,203,5A,5A,6,1502,1516
117240,203,204,5A,5A,8,1516,1520
117240,203,207,5A,5A,29,1516,1751
117240,205,207,5A,5A,4,1522,1751
117240,153,162,4A,4A,104,1545,1837
117240,157,161,4A,4A,116,1618,1815
117240,25,27,1B,1B,312,1663,1665
117240,71,93,2B,2B,176,1702,1889
117260,149,151,4A,4A,15,1532,1538
117260,123,134,3B,3B,148,1558,1685
117260,52,64,2A,2A,262,1613,1907
117260,164,175,4B,4B,16,1630,1836
117260,97,113,3A,3A,13,1714,1820
117260,80,89,2B,2B,78,1739,1872
117260,4,9,1A,1A,22,1760,1768
117260,8,16,1A,1A,12,1767,1787
117260,14,17,1A,1A,12,1778,1789
117260,109,118,3A,3A,36,1795,1859
117260,110,116,3A,3A,7,1800,1838
117260,169,184,4B,4B,25,1807,1895
117280,24,35,1B,1B,86,1661,1682
117280,41,46,1B,1B,310,1697,1912
117280,100,106,3A,3A,22,1722,1763
117280,103,107,3A,3A,70,1738,1780
117300,25,42,1B,1B,192,1663,1698
117300,28,39,1B,1B,374,1666,1695
117300,34,37,1B,1B,5,1681,1687
117300,34,43,1B,1B,78,1681,1765
117300,37,43,1B,1B,55,1687,1765
117300,97,109,3A,3A,40,1714,1795
117300,98,105,3A,3A,182,1719,1748
117300,166,179,4B,4B,3,1802,1866
117300,168,180,4B,4B,11,1805,1880
117300,173,182,4B,4B,23,1831,1888
117300,177,179,4B,4B,58,1857,1866
117320,216,227,5B,5B,299,1437,1563
117320,50,63,2A,2A,217,1606,1906
117320,38,41,1B,1B,48,1688,1697
117320,97,111,3A,3A,9,1714,1801
117320,168,171,4B,4B,15,1805,1819
117320,113,118,3A,3A,5,1820,1859
117340,217,223,5B,5B,49,1439,1480
117340,217,225,5B,5B,4,1439,1486
117340,219,226,5B,5B,4,1443,1489
117340,223,226,5B,5B,17,1480,1489
117340,26,32,1B,1B,138,1664,1675
117340,27,47,1B,1B,84,1665,1920
117340,33,38,1B,1B,72,1680,1688
117340,39,237,1B,Teachers,23,1695,1745
117340,97,114,3A,3A,39,1714,1822
117340,100,115,3A,3A,56,1722,1833
117340,101,114,3A,3A,12,1723,1822
117340,103,118,3A,3A,23,1738,1859
117340,105,112,3A,3A,8,1748,1809
117340,174,185,4B,4B,89,1835,1910
117360,208,211,5B,5B,5,1426,1429
117360,27,39,1B,1B,65,1665,1695
117360,27,237,1B,Teachers,42,1665,1745
117360,33,36,1B,1B,2,1680,1684
117360,34,46,1B,1B,132,1681,1912
117360,36,38,1B,1B,167,1684,1688
117360,73,83,2B,2B,350,1706,1851
117360,73,87,2B,2B,442,1706,1861
117360,78,92,2B,2B,201,1718,1887
117360,98,108,3A,3A,31,1719,1782
117360,98,114,3A,3A,83,1719,1822
117360,99,103,3A,3A,12,1720,1738
